cod_municipio,nombre_municipio,nombre_departamento,cluster,cluster_nombre,total_atenciones,n_registros,pct_no_def,log_total_atenciones,ratio_consultas_proced,pct_CONSULTAS,pct_HOSPITALIZACIONES,pct_PROCEDIMIENTOS DE SALUD,pct_URGENCIAS
18001,FLORENCIA,Caquetá,3,Grandes centros urbanos,11646961.0,98154.0,27.5,7.066212621232972,0.5815556284870365,35.44,1.05,60.93,2.59
18029,ALBANIA,Caquetá,1,Alta carga NO DEFINIDO,404777.0,16878.0,42.22,5.607215827307863,0.6153467781603542,37.53,0.61,60.98,0.88
18094,BELEN DE LOS ANDAQUIES,Caquetá,2,Perfil quirúrgico medio,601587.0,19627.0,39.79,5.779298442794247,0.6368316174028562,38.35,0.76,60.21,0.67
18247,EL DONCELLO,Caquetá,1,Alta carga NO DEFINIDO,1156565.0,27487.0,41.11,6.063170045535568,0.6062285993804011,37.18,0.78,61.32,0.72
18256,EL PAUJIL,Caquetá,1,Alta carga NO DEFINIDO,738862.0,21010.0,51.27,5.868563331175509,0.4656511350059736,31.18,1.01,66.95,0.85
18410,LA MONTAÑITA,Caquetá,2,Perfil quirúrgico medio,584389.0,22296.0,40.07,5.766702032580087,0.6086452467704538,36.75,0.95,60.37,1.93
18460,MILAN,Caquetá,2,Perfil quirúrgico medio,286953.0,14762.0,37.21,5.457810769513836,0.7721242958386335,42.49,1.02,55.02,1.47
18479,MORELIA,Caquetá,2,Perfil quirúrgico medio,199828.0,11467.0,17.31,5.300656341715307,0.7534635879218473,42.42,0.76,56.29,0.54
18610,SAN JOSE DEL FRAGUA,Caquetá,1,Alta carga NO DEFINIDO,429884.0,14007.0,43.37,5.633351281262571,0.5171190623072177,33.53,0.8,64.83,0.84
18860,VALPARAISO,Caquetá,1,Alta carga NO DEFINIDO,451263.0,12503.0,49.14,5.654429726264277,0.5330751355538341,34.41,0.53,64.54,0.52
18150,CARTAGENA DEL CHAIRA,Caquetá,1,Alta carga NO DEFINIDO,1115291.0,25893.0,41.88,6.04738819761324,0.5516967967015541,34.79,0.89,63.05,1.28
18753,SAN VICENTE DEL CAGUAN,Caquetá,1,Alta carga NO DEFINIDO,1832550.0,32698.0,33.82,6.263055832932732,0.542583280955374,34.53,1.03,63.63,0.81
18756,SOLANO,Caquetá,2,Perfil quirúrgico medio,310251.0,13074.0,49.48,5.491713189989565,0.561511139812722,34.78,1.24,61.93,2.05
18785,SOLITA,Caquetá,1,Alta carga NO DEFINIDO,322362.0,11982.0,47.84,5.508343841560562,0.569446659225004,35.71,0.92,62.7,0.67
18205,CURRILLO,Caquetá,2,Perfil quirúrgico medio,506627.0,18210.0,37.6,5.704688331207681,0.6402142976728613,38.24,0.95,59.72,1.1
18592,PUERTO RICO,Caquetá,1,Alta carga NO DEFINIDO,813713.0,17619.0,42.16,5.910471254404321,0.5985069782538137,36.88,0.97,61.61,0.54
19001,POPAYAN,Cauca,3,Grandes centros urbanos,14573184.0,88918.0,38.45,7.163554448308123,0.6359393232205368,38.15,0.76,59.98,1.11
19022,ALMAGUER,Cauca,1,Alta carga NO DEFINIDO,589853.0,13817.0,52.94,5.770743792585753,0.4711723729064769,31.79,0.39,67.46,0.36
19050,ARGELIA,Cauca,1,Alta carga NO DEFINIDO,1002023.0,20774.0,59.06,6.000877690252229,0.4258456201214223,29.46,0.51,69.17,0.86
19075,BALBOA,Cauca,1,Alta carga NO DEFINIDO,1320665.0,23309.0,56.9,6.120792668407707,0.4879843796936017,32.49,0.39,66.57,0.55
19100,BOLIVAR,Cauca,1,Alta carga NO DEFINIDO,2095238.0,30969.0,53.43,6.3212333620116095,0.4605166051660516,31.2,0.36,67.74,0.69
19110,BUENOS AIRES,Cauca,1,Alta carga NO DEFINIDO,1494037.0,25576.0,56.61,6.174361352965896,0.5468725627827172,35.06,0.34,64.1,0.5
19130,CAJIBIO,Cauca,1,Alta carga NO DEFINIDO,3065139.0,36275.0,59.64,6.48645017398141,0.3587105624142661,26.15,0.34,72.89,0.61
19137,CALDONO,Cauca,1,Alta carga NO DEFINIDO,1103393.0,25719.0,55.85,6.042730224436824,0.400255391600454,28.21,0.69,70.47,0.63
19142,CALOTO,Cauca,2,Perfil quirúrgico medio,760822.0,25034.0,30.76,5.881283062210721,0.8993456505003848,46.73,0.64,51.95,0.68
19212,CORINTO,Cauca,1,Alta carga NO DEFINIDO,1074616.0,26914.0,53.89,6.03125330250848,0.5175222871195819,33.67,0.51,65.05,0.77
19290,FLORENCIA,Cauca,1,Alta carga NO DEFINIDO,557686.0,14289.0,67.56,5.746389742216032,0.3126409338108502,23.57,0.38,75.38,0.67
19355,INZA,Cauca,1,Alta carga NO DEFINIDO,909279.0,18478.0,58.0,5.958697161075809,0.3706777316735822,26.8,0.52,72.29,0.39
19364,JAMBALO,Cauca,2,Perfil quirúrgico medio,186458.0,9647.0,22.75,5.270581021547261,0.881846036001532,46.05,0.9,52.21,0.83
19392,LA SIERRA,Cauca,1,Alta carga NO DEFINIDO,505433.0,17693.0,50.35,5.703663593836428,0.4728301324996278,31.76,0.57,67.16,0.51
19397,LA VEGA,Cauca,3,Grandes centros urbanos,854290.0,22632.0,41.8,5.931605322703548,0.7585655955973726,42.73,0.48,56.32,0.47
19450,MERCADERES,Cauca,1,Alta carga NO DEFINIDO,1371704.0,29121.0,52.51,6.137260405076511,0.5432137285491418,34.82,0.45,64.09,0.64
19455,MIRANDA,Cauca,1,Alta carga NO DEFINIDO,1446983.0,34946.0,47.16,6.1604634288042055,0.5897683397683398,36.66,0.58,62.15,0.62
19473,MORALES,Cauca,1,Alta carga NO DEFINIDO,1381420.0,27135.0,52.4,6.1403257393686665,0.4755171900580442,31.95,0.52,67.18,0.35
19513,PADILLA,Cauca,1,Alta carga NO DEFINIDO,496869.0,12477.0,66.34,5.696241901658157,0.3192931171937284,24.03,0.24,75.25,0.48
19517,PAEZ,Cauca,1,Alta carga NO DEFINIDO,522602.0,12691.0,46.53,5.7181710674412525,0.4556421950860673,30.97,0.6,67.96,0.47
19532,PATIA,Cauca,1,Alta carga NO DEFINIDO,2869884.0,41422.0,57.14,6.457864343013426,0.3953488372093023,28.05,0.53,70.94,0.48
19533,PIAMONTE,Cauca,2,Perfil quirúrgico medio,184879.0,9338.0,40.52,5.2668875834032445,0.574729358539344,35.57,1.55,61.88,1.01
19548,PIENDAMO,Cauca,1,Alta carga NO DEFINIDO,1991966.0,31843.0,54.91,6.299281921367599,0.4616066154754873,31.26,0.53,67.71,0.49
19573,PUERTO TEJADA,Cauca,1,Alta carga NO DEFINIDO,2361728.0,36838.0,47.05,6.373229878501366,0.5933022057639672,36.85,0.41,62.1,0.64
19585,PURACE,Cauca,1,Alta carga NO DEFINIDO,918160.0,19789.0,58.1,5.962918368632926,0.3970443349753694,28.21,0.38,71.04,0.38
19622,ROSAS,Cauca,1,Alta carga NO DEFINIDO,572946.0,19589.0,44.87,5.758113691762929,0.5051781906792567,33.17,0.6,65.65,0.58
19693,SAN SEBASTIAN,Cauca,2,Perfil quirúrgico medio,250751.0,8636.0,39.47,5.399242673670984,0.8655113957430779,45.95,0.53,53.08,0.44
19698,SANTANDER DE QUILICHAO,Cauca,1,Alta carga NO DEFINIDO,4756689.0,47206.0,50.22,6.67730475747431,0.5852564102564103,36.52,0.55,62.39,0.54
19701,SANTA ROSA,Cauca,2,Perfil quirúrgico medio,228560.0,8522.0,34.36,5.359000227374686,0.8368216336358586,45.18,0.41,53.98,0.42
19743,SILVIA,Cauca,1,Alta carga NO DEFINIDO,1397261.0,25050.0,60.62,6.145277537304222,0.3736995422388681,26.94,0.57,72.08,0.41
19760,SOTARA,Cauca,1,Alta carga NO DEFINIDO,293844.0,12901.0,41.82,5.468116827282866,0.5826254207405033,36.35,0.65,62.38,0.62
19780,SUAREZ,Cauca,1,Alta carga NO DEFINIDO,1063460.0,19425.0,63.09,6.02672115939533,0.3963913166055821,28.12,0.39,70.93,0.56
19785,SUCRE,Cauca,1,Alta carga NO DEFINIDO,428747.0,10658.0,63.25,5.632201094244987,0.3647010195646183,26.47,0.64,72.57,0.32
19807,TIMBIO,Cauca,3,Grandes centros urbanos,1341773.0,28411.0,41.45,6.127679048481132,0.6754550093553325,39.71,0.76,58.78,0.75
19821,TORIBIO,Cauca,1,Alta carga NO DEFINIDO,596317.0,19715.0,33.03,5.775477190531305,0.5241785492870427,33.82,0.65,64.51,1.02
19824,TOTORO,Cauca,2,Perfil quirúrgico medio,355072.0,15057.0,31.66,5.550316426385135,0.8544387658527353,45.14,0.97,52.82,1.07
19256,EL TAMBO,Cauca,1,Alta carga NO DEFINIDO,2938222.0,34557.0,55.14,6.468084606203248,0.519448698315467,33.92,0.35,65.29,0.44
19318,GUAPI,Cauca,1,Alta carga NO DEFINIDO,1001041.0,23934.0,50.99,6.000451865400506,0.540625,34.6,0.75,63.99,0.66
19418,LOPEZ,Cauca,1,Alta carga NO DEFINIDO,433179.0,11547.0,62.55,5.636667394386375,0.4308966719953495,29.65,0.57,68.8,0.98
19809,TIMBIQUI,Cauca,1,Alta carga NO DEFINIDO,510264.0,14595.0,50.78,5.707794929192785,0.4432272390821613,29.94,1.01,67.54,1.51
19845,VILLA RICA,Cauca,2,Perfil quirúrgico medio,474520.0,22845.0,22.22,5.67625452172978,1.3585407103165017,56.23,0.76,41.38,1.64
76001,CALI,Valle del Cauca,3,Grandes centros urbanos,131176319.0,205298.0,34.4,8.117855439796557,0.5245212517515179,33.69,0.62,64.22,1.46
76036,ANDALUCIA,Valle del Cauca,1,Alta carga NO DEFINIDO,2636840.0,35601.0,54.72,6.421083778172177,0.4204643164230438,29.34,0.34,69.77,0.54
76041,ANSERMANUEVO,Valle del Cauca,4,Perfil quirúrgico con buen registro,851070.0,20811.0,23.61,5.929965282015825,0.4201861130994989,29.35,0.53,69.84,0.28
76054,ARGELIA,Valle del Cauca,1,Alta carga NO DEFINIDO,198091.0,7776.0,35.53,5.296864744397063,0.4146133029482979,29.11,0.42,70.2,0.28
76111,BUGA,Valle del Cauca,3,Grandes centros urbanos,8619618.0,70192.0,40.0,6.93548801940149,0.5571088165210485,35.07,0.81,62.94,1.19
76113,BUGALAGRANDE,Valle del Cauca,3,Grandes centros urbanos,1361194.0,29548.0,35.58,6.133920026103588,0.6971722365038561,40.68,0.47,58.34,0.5
76122,CAICEDONIA,Valle del Cauca,3,Grandes centros urbanos,2002388.0,36135.0,16.54,6.301548233948649,0.9182292673497005,47.5,0.39,51.72,0.39
76126,CALIMA,Valle del Cauca,1,Alta carga NO DEFINIDO,570335.0,19404.0,41.97,5.756130023944311,0.5701083492670491,35.78,0.53,62.75,0.95
76130,CANDELARIA,Valle del Cauca,3,Grandes centros urbanos,4538895.0,55037.0,38.2,6.6569501361581285,0.611400651465798,37.54,0.48,61.39,0.59
76147,CARTAGO,Valle del Cauca,3,Grandes centros urbanos,7091316.0,81678.0,17.08,6.850726838639026,0.5629001280409731,35.17,1.13,62.47,1.22
76243,EL AGUILA,Valle del Cauca,2,Perfil quirúrgico medio,133992.0,8080.0,7.18,5.127078869562036,1.0253838280450358,50.09,0.61,48.84,0.47
76246,EL CAIRO,Valle del Cauca,1,Alta carga NO DEFINIDO,341359.0,14186.0,32.01,5.533211357601672,0.4548130703561965,30.9,0.68,67.93,0.5
76248,EL CERRITO,Valle del Cauca,1,Alta carga NO DEFINIDO,4367680.0,54100.0,43.05,6.640250812085625,0.5275503778337531,33.51,0.53,63.51,2.44
76250,EL DOVIO,Valle del Cauca,2,Perfil quirúrgico medio,258481.0,11922.0,31.66,5.412428625192355,0.9963555375582102,49.21,0.74,49.38,0.67
76275,FLORIDA,Valle del Cauca,3,Grandes centros urbanos,2102654.0,37197.0,30.06,6.322767813697504,0.8192548874953892,44.42,0.65,54.21,0.71
76306,GINEBRA,Valle del Cauca,2,Perfil quirúrgico medio,485890.0,17000.0,27.17,5.686537961031499,1.0992710120068612,51.27,0.58,46.63,1.52
76318,GUACARI,Valle del Cauca,1,Alta carga NO DEFINIDO,1756145.0,32071.0,46.43,6.244560371535952,0.4936536718041704,32.67,0.56,66.17,0.6
76020,ALCALA,Valle del Cauca,4,Perfil quirúrgico con buen registro,907518.0,25399.0,19.31,5.957855247728149,0.362917764526418,26.17,0.79,72.1,0.93
76497,OBANDO,Valle del Cauca,4,Perfil quirúrgico con buen registro,916613.0,28876.0,22.08,5.962186012398434,0.5105343511450381,33.44,0.6,65.49,0.47
76520,PALMIRA,Valle del Cauca,3,Grandes centros urbanos,20039342.0,108759.0,37.13,7.301883457192181,0.6288642750867912,38.04,0.6,60.48,0.88
76563,PRADERA,Valle del Cauca,3,Grandes centros urbanos,2728387.0,36256.0,35.78,6.435905971572454,0.8074963609898108,44.38,0.39,54.95,0.27
76606,RESTREPO,Valle del Cauca,1,Alta carga NO DEFINIDO,538450.0,16355.0,33.09,5.731145381297382,0.5337052533705253,34.44,0.53,64.52,0.51
76616,RIOFRIO,Valle del Cauca,1,Alta carga NO DEFINIDO,721377.0,17209.0,43.26,5.858162291389164,0.6472448809721991,38.88,0.44,60.06,0.62
76622,ROLDANILLO,Valle del Cauca,1,Alta carga NO DEFINIDO,1574084.0,31712.0,26.84,6.197027904492599,0.4666071694184144,31.37,0.88,67.22,0.53
76670,SAN PEDRO,Valle del Cauca,1,Alta carga NO DEFINIDO,853086.0,23888.0,44.74,5.930992814805013,0.6624600370183409,39.37,0.51,59.42,0.7
76736,SEVILLA,Valle del Cauca,1,Alta carga NO DEFINIDO,4797778.0,51272.0,46.24,6.681040148674425,0.6178001952489424,37.97,0.42,61.45,0.17
76823,TORO,Valle del Cauca,1,Alta carga NO DEFINIDO,838871.0,19482.0,36.41,5.923695180977,0.339095205941931,25.11,0.5,74.04,0.35
76828,TRUJILLO,Valle del Cauca,1,Alta carga NO DEFINIDO,1454959.0,26831.0,41.66,6.16285075529812,0.4553728714034057,31.02,0.42,68.11,0.45
76834,TULUA,Valle del Cauca,1,Alta carga NO DEFINIDO,16422257.0,83806.0,49.1,7.21543284433551,0.4446070540026343,30.38,0.51,68.32,0.8
76845,ULLOA,Valle del Cauca,2,Perfil quirúrgico medio,57410.0,4660.0,23.09,4.758987546867619,0.779425058759718,43.11,0.77,55.3,0.82
76863,VERSALLES,Valle del Cauca,1,Alta carga NO DEFINIDO,453495.0,15625.0,46.38,5.656572503117436,0.5805986873699376,36.27,0.6,62.46,0.67
76869,VIJES,Valle del Cauca,2,Perfil quirúrgico medio,405673.0,15959.0,29.71,5.608176103732872,0.5856889032466484,36.26,1.21,61.9,0.62
76890,YOTOCO,Valle del Cauca,1,Alta carga NO DEFINIDO,1226253.0,28180.0,51.03,6.088580082880851,0.5360199159794616,34.45,0.48,64.26,0.82
76892,YUMBO,Valle del Cauca,1,Alta carga NO DEFINIDO,4683792.0,54026.0,53.89,6.670597600478467,0.4183278359386204,29.17,0.57,69.72,0.54
76895,ZARZAL,Valle del Cauca,3,Grandes centros urbanos,2971183.0,47900.0,29.96,6.472929401531908,0.7967213114754099,43.74,0.79,54.89,0.58
76403,LA VICTORIA,Valle del Cauca,4,Perfil quirúrgico con buen registro,537446.0,20492.0,27.29,5.7303348349501535,0.5764387055635262,36.16,0.72,62.72,0.4
76400,LA UNION,Valle del Cauca,1,Alta carga NO DEFINIDO,2157178.0,39774.0,26.22,6.333885982482376,0.448386625784786,30.71,0.57,68.48,0.23
76377,LA CUMBRE,Valle del Cauca,4,Perfil quirúrgico con buen registro,393886.0,14908.0,23.04,5.595370544833516,0.5071624504724169,33.28,0.37,65.61,0.74
76364,JAMUNDI,Valle del Cauca,3,Grandes centros urbanos,4120755.0,57134.0,29.14,6.614976794259827,0.5820727389765047,36.17,0.69,62.13,1.01
76100,BOLIVAR,Valle del Cauca,1,Alta carga NO DEFINIDO,478652.0,16621.0,39.77,5.680019877909484,0.5674948567811363,35.86,0.61,63.18,0.35
76233,DAGUA,Valle del Cauca,1,Alta carga NO DEFINIDO,1139262.0,28878.0,35.81,6.056623611760815,0.4830635491606714,32.23,0.46,66.71,0.59
76109,BUENAVENTURA,Valle del Cauca,1,Alta carga NO DEFINIDO,9787123.0,63440.0,47.09,6.990655046363772,0.4655402401067141,31.41,0.51,67.46,0.62
52683,SANDONA,Nariño,5,Alta demanda de urgencias,1802461.0,35488.0,37.08,6.255865876626955,0.5352447330904483,33.79,0.47,63.12,2.62
52685,SAN BERNARDO,Nariño,3,Grandes centros urbanos,345948.0,9479.0,13.59,5.539010824196704,0.9818069051064712,47.49,0.46,48.36,3.69
52687,SAN LORENZO,Nariño,5,Alta demanda de urgencias,702837.0,18004.0,49.97,5.846854616330456,0.4758352758352758,30.62,0.57,64.34,4.47
52560,POTOSI,Nariño,1,Alta carga NO DEFINIDO,784251.0,24817.0,34.65,5.894455081139888,0.5487244493741087,34.63,0.66,63.1,1.61
52693,SAN PABLO,Nariño,1,Alta carga NO DEFINIDO,941097.0,25562.0,47.26,5.973634388989055,0.599670510708402,36.4,0.61,60.69,2.29
52565,PROVIDENCIA,Nariño,5,Alta demanda de urgencias,300856.0,15286.0,53.78,5.478358677090456,0.4756955548448993,29.75,0.57,62.53,7.15
52694,SAN PEDRO DE CARTAGO,Nariño,1,Alta carga NO DEFINIDO,504144.0,12571.0,50.03,5.702554602860283,0.6088031651829872,36.93,0.41,60.65,2.01
52573,PUERRES,Nariño,3,Grandes centros urbanos,859333.0,21034.0,33.37,5.934161489835904,0.8602760446209113,45.5,0.35,52.88,1.27
52699,SANTACRUZ,Nariño,1,Alta carga NO DEFINIDO,414235.0,10811.0,37.26,5.617246790995599,0.5148272699480281,33.68,0.39,65.41,0.52
52585,PUPIALES,Nariño,1,Alta carga NO DEFINIDO,1595148.0,30250.0,53.87,6.202800983695044,0.5016829865361077,32.79,0.5,65.35,1.36
52678,SAMANIEGO,Nariño,1,Alta carga NO DEFINIDO,2871409.0,35268.0,59.57,6.458095057279526,0.4721062052505966,31.65,0.37,67.03,0.95
52207,CONSACA,Nariño,5,Alta demanda de urgencias,882258.0,26148.0,27.01,5.945595605076895,0.6447547683923706,37.86,0.41,58.71,3.02
52210,CONTADERO,Nariño,1,Alta carga NO DEFINIDO,678178.0,21901.0,40.86,5.831343697217984,0.5407501186896662,34.17,0.48,63.18,2.18
52215,CORDOBA,Nariño,5,Alta demanda de urgencias,1024860.0,28834.0,21.37,6.010664543069701,0.5966942148760331,36.1,0.54,60.49,2.87
52001,PASTO,Nariño,3,Grandes centros urbanos,33326113.0,131793.0,33.22,7.522784662562616,0.7291482983600776,41.35,0.55,56.7,1.4
52019,ALBAN,Nariño,1,Alta carga NO DEFINIDO,710971.0,14812.0,46.17,5.851851886528876,0.4987127063456005,32.93,0.34,66.02,0.71
52022,ALDANA,Nariño,3,Grandes centros urbanos,534174.0,12668.0,36.31,5.727682745663404,0.8905798497399345,46.23,0.42,51.9,1.45
52224,CUASPUD,Nariño,1,Alta carga NO DEFINIDO,1130526.0,22228.0,47.43,6.053280554763364,0.5030246626337832,32.43,0.33,64.46,2.78
52036,ANCUYA,Nariño,5,Alta demanda de urgencias,489103.0,15153.0,50.9,5.689400326651685,0.4762357414448669,30.06,0.37,63.11,6.46
52051,ARBOLEDA,Nariño,5,Alta demanda de urgencias,423484.0,13687.0,34.75,5.626837006536912,0.6466587315082469,38.03,0.47,58.8,2.7
52083,BELEN,Nariño,5,Alta demanda de urgencias,500064.0,19239.0,23.56,5.6990255904722655,0.5992315402606081,35.87,0.53,59.85,3.76
52110,BUESACO,Nariño,5,Alta demanda de urgencias,1284808.0,31691.0,34.1,6.108838232125949,0.5801705400434711,34.7,0.52,59.8,4.98
52203,COLON,Nariño,5,Alta demanda de urgencias,843211.0,25204.0,16.8,5.925936263437898,0.5173337535455405,32.83,0.6,63.45,3.13
52480,NARINO,Nariño,1,Alta carga NO DEFINIDO,252612.0,8720.0,41.2,5.402453977296103,0.5880064829821718,36.28,0.36,61.69,1.67
52506,OSPINA,Nariño,1,Alta carga NO DEFINIDO,623115.0,18705.0,47.22,5.794568205979234,0.5451217571223937,34.25,0.34,62.82,2.6
52720,SAPUYES,Nariño,1,Alta carga NO DEFINIDO,413582.0,15222.0,46.3,5.6165616290443365,0.4671140939597314,31.32,0.54,67.04,1.1
52786,TAMINANGO,Nariño,5,Alta demanda de urgencias,1126116.0,29438.0,47.72,6.05158312902786,0.5254827477049699,33.2,0.51,63.17,3.13
52788,TANGUA,Nariño,1,Alta carga NO DEFINIDO,1114490.0,25047.0,54.93,6.047076176033571,0.4385990408370876,30.18,0.43,68.8,0.59
52240,CHACHAGUI,Nariño,3,Grandes centros urbanos,855316.0,18557.0,41.24,5.9321265962507015,0.6824183460736624,39.28,0.36,57.55,2.82
52254,EL PEÑOL,Nariño,5,Alta demanda de urgencias,507458.0,17557.0,47.29,5.705400103485634,0.5407704654895666,33.69,0.5,62.29,3.53
52258,EL TABLON DE GOMEZ,Nariño,5,Alta demanda de urgencias,752562.0,21376.0,16.08,5.876542285194366,0.6634163329270416,38.1,0.46,57.42,4.02
52838,TUQUERRES,Nariño,3,Grandes centros urbanos,1833555.0,38179.0,23.24,6.263293941751353,0.9432823813354788,46.9,0.84,49.71,2.55
52411,LINARES,Nariño,5,Alta demanda de urgencias,512915.0,15619.0,35.67,5.71004540002495,0.6576943509828228,37.14,0.4,56.46,6.0
52885,YACUANQUER,Nariño,3,Grandes centros urbanos,635888.0,18571.0,15.77,5.803380629382172,0.6220785678766783,37.53,0.54,60.32,1.61
52435,MALLAMA,Nariño,5,Alta demanda de urgencias,481271.0,11118.0,42.75,5.68238969313503,0.7883361281907957,42.31,0.4,53.66,3.62
52378,LA CRUZ,Nariño,5,Alta demanda de urgencias,1648928.0,32998.0,26.2,6.217201692706151,0.6549526270456504,38.02,0.61,58.04,3.32
52381,LA FLORIDA,Nariño,1,Alta carga NO DEFINIDO,612517.0,19571.0,37.22,5.787118146756956,0.5359949701351776,34.1,0.51,63.61,1.78
52260,EL TAMBO,Nariño,5,Alta demanda de urgencias,1406205.0,26880.0,52.93,6.148048637809653,0.4564276885043263,29.54,0.37,64.71,5.37
52287,FUNES,Nariño,5,Alta demanda de urgencias,553433.0,17618.0,48.71,5.743065051607625,0.5522679239148106,33.97,0.43,61.5,4.1
52317,GUACHUCAL,Nariño,5,Alta demanda de urgencias,777141.0,23831.0,20.11,5.890499821846605,0.4727522515646465,30.97,0.62,65.5,2.92
52399,LA UNION,Nariño,1,Alta carga NO DEFINIDO,2052411.0,37202.0,49.04,6.312264333612707,0.4906006419073819,32.1,0.83,65.42,1.65
52320,GUAITARILLA,Nariño,4,Perfil quirúrgico con buen registro,765433.0,26253.0,25.09,5.883907181966031,0.579100145137881,35.91,0.83,62.0,1.26
52405,LEIVA,Nariño,1,Alta carga NO DEFINIDO,523760.0,16654.0,61.81,5.7191323279139405,0.3854270640239555,27.03,0.41,70.12,2.45
52323,GUALMATAN,Nariño,1,Alta carga NO DEFINIDO,627360.0,21101.0,45.69,5.797516824956132,0.6390611902766136,38.12,0.41,59.64,1.84
52352,ILES,Nariño,1,Alta carga NO DEFINIDO,649637.0,18780.0,41.12,5.812670752129395,0.6079338842975207,36.78,0.44,60.49,2.3
52354,IMUES,Nariño,4,Perfil quirúrgico con buen registro,472967.0,17679.0,17.15,5.674830840065782,0.5786012191209496,36.07,0.5,62.33,1.09
52356,IPIALES,Nariño,1,Alta carga NO DEFINIDO,9275472.0,80840.0,36.58,6.967336018748517,0.4436651246082674,29.73,0.73,67.0,2.55
52227,CUMBAL,Nariño,1,Alta carga NO DEFINIDO,1783687.0,34352.0,39.26,6.251318647069841,0.4698813279254919,31.28,0.61,66.56,1.55
52233,CUMBITARA,Nariño,1,Alta carga NO DEFINIDO,512587.0,14516.0,56.14,5.709767587607379,0.3177012740580103,23.44,0.34,73.77,2.46
52256,EL ROSARIO,Nariño,1,Alta carga NO DEFINIDO,516355.0,15307.0,55.69,5.712948386763919,0.3215728521411257,23.88,0.37,74.25,1.51
52385,LA LLANADA,Nariño,1,Alta carga NO DEFINIDO,261044.0,9375.0,57.89,5.416713715563063,0.3823069264684966,26.88,0.35,70.3,2.47
52418,LOS ANDES,Nariño,1,Alta carga NO DEFINIDO,391974.0,11277.0,57.45,5.59325726081889,0.3672167521841631,26.48,0.31,72.1,1.11
52540,POLICARPA,Nariño,1,Alta carga NO DEFINIDO,739911.0,19187.0,58.24,5.869179483874988,0.3888571428571428,27.22,0.39,69.99,2.39
52612,RICAURTE,Nariño,3,Grandes centros urbanos,1437062.0,25294.0,48.79,6.157475505557345,0.6744186046511628,39.15,0.54,58.04,2.28
52079,BARBACOAS,Nariño,5,Alta demanda de urgencias,2730380.0,35390.0,39.86,6.436223094080482,0.5690735245631389,34.52,0.65,60.65,4.18
52250,EL CHARCO,Nariño,5,Alta demanda de urgencias,697341.0,15326.0,54.78,5.843445200197455,0.3894409016758119,26.26,0.97,67.42,5.35
52390,LA TOLA,Nariño,1,Alta carga NO DEFINIDO,346508.0,7140.0,66.1,5.5397132658331,0.267672858617131,20.75,0.27,77.51,1.47
52427,MAGUI,Nariño,1,Alta carga NO DEFINIDO,317905.0,7722.0,47.51,5.502297358538658,0.4136064374542794,28.27,0.39,68.34,3.0
52473,MOSQUERA,Nariño,5,Alta demanda de urgencias,219902.0,8671.0,26.42,5.342229179269904,0.44790236460717,29.36,0.49,65.54,4.61
52490,OLAYA HERRERA,Nariño,5,Alta demanda de urgencias,762065.0,15556.0,19.2,5.881992015876862,0.3639802153040442,25.02,0.63,68.73,5.62
52520,FRANCISCO PIZARRO,Nariño,3,Grandes centros urbanos,802739.0,19091.0,26.63,5.904574363105519,1.45646703573226,57.88,0.32,39.73,2.07
52621,ROBERTO PAYAN,Nariño,5,Alta demanda de urgencias,567469.0,14612.0,24.99,5.753942141641957,0.4815282601831386,30.5,0.46,63.33,5.72
52696,SANTA BARBARA,Nariño,4,Perfil quirúrgico con buen registro,369982.0,9262.0,24.41,5.568180595713398,0.3388429752066115,24.6,0.27,72.59,2.55
85001,YOPAL,Casanare,1,Alta carga NO DEFINIDO,1039467.0,5480.0,65.01,6.016810706322231,0.2129505192425167,17.43,0.47,81.84,0.25
85010,AGUAZUL,Casanare,0,Rurales pequeños - perfil clínico,46631.0,2240.0,0.0,4.668674728982803,2.132460900095755,66.81,1.14,31.32,0.74
85015,CHAMEZA,Casanare,0,Rurales pequeños - perfil clínico,1045.0,129.0,0.0,3.019116290447073,2.1206077872744538,66.99,1.15,31.58,0.29
85136,LA SALINA,Casanare,0,Rurales pequeños - perfil clínico,109.0,29.0,0.0,2.037426497940624,10.0,90.83,1.83,6.42,0.92
85139,MANI,Casanare,4,Perfil quirúrgico con buen registro,1595.0,106.0,0.0,3.2027606873932,0.226974514256876,17.99,0.56,79.25,2.19
85162,MONTERREY,Casanare,0,Rurales pequeños - perfil clínico,2578.0,389.0,0.0,3.4112829130173843,2.8054011119936453,70.64,0.89,25.17,3.3
85230,OROCUE,Casanare,0,Rurales pequeños - perfil clínico,1564.0,90.0,0.0,3.194236748723829,4.44770857814336,75.7,4.03,17.01,3.26
85263,PORE,Casanare,1,Alta carga NO DEFINIDO,57864.0,1185.0,70.86,4.762408452089059,0.1429561200923787,12.38,0.42,86.59,0.6
85279,RECETOR,Casanare,2,Perfil quirúrgico medio,843.0,115.0,12.1,2.9258275746247424,0.6916064671482628,40.21,0.95,58.13,0.71
85300,SABANALARGA,Casanare,0,Rurales pequeños - perfil clínico,338.0,59.0,0.0,2.5289167002776547,10.0,96.45,0.89,2.66,0.0
85430,TRINIDAD,Casanare,4,Perfil quirúrgico con buen registro,750.0,48.0,0.0,2.8750612633917,0.2258345789735924,18.13,1.2,80.27,0.4
